S3_sigmoid_sgd_simple_LR0.01; MSE: 0.279594; R2: 0.0123
S3_sigmoid_sgd_simple_LR0.001; MSE: 0.282822; R2: 0.0009
S3_sigmoid_sgd_simple_LR0.0001; MSE: 0.283165; R2: -0.0003
S3_sigmoid_sgd_momentum_LR0.01; MSE: 0.279603; R2: 0.0123
S3_sigmoid_sgd_momentum_LR0.001; MSE: 0.282823; R2: 0.0009
S3_sigmoid_sgd_momentum_LR0.0001; MSE: 0.283166; R2: -0.0003
S3_sigmoid_rmsprop_LR0.01; MSE: 0.097686; R2: 0.6549
S3_sigmoid_rmsprop_LR0.001; MSE: 0.187306; R2: 0.3383
S3_sigmoid_rmsprop_LR0.0001; MSE: 0.265240; R2: 0.0630
S3_relu_sgd_simple_LR0.01; FAILED; Input contains NaN.
S3_relu_sgd_simple_LR0.001; MSE: 0.227787; R2: 0.1953
S3_relu_sgd_simple_LR0.0001; MSE: 0.249983; R2: 0.1169
S3_relu_sgd_momentum_LR0.01; MSE: 0.201729; R2: 0.2874
S3_relu_sgd_momentum_LR0.001; MSE: 0.231491; R2: 0.1822
S3_relu_sgd_momentum_LR0.0001; MSE: 0.250041; R2: 0.1167
S3_relu_rmsprop_LR0.01; MSE: 0.068029; R2: 0.7597
S3_relu_rmsprop_LR0.001; MSE: 0.091051; R2: 0.6784
S3_relu_rmsprop_LR0.0001; MSE: 0.181980; R2: 0.3571
S6_sigmoid_sgd_simple_LR0.01; MSE: 0.283096; R2: -0.0001
S6_sigmoid_sgd_simple_LR0.001; MSE: 0.283096; R2: -0.0001
S6_sigmoid_sgd_simple_LR0.0001; MSE: 0.283189; R2: -0.0004
S6_sigmoid_sgd_momentum_LR0.01; MSE: 0.283095; R2: -0.0001
S6_sigmoid_sgd_momentum_LR0.001; MSE: 0.283096; R2: -0.0001
S6_sigmoid_sgd_momentum_LR0.0001; MSE: 0.283184; R2: -0.0004
S6_sigmoid_rmsprop_LR0.01; MSE: 0.283078; R2: -0.0000
S6_sigmoid_rmsprop_LR0.001; MSE: 0.152246; R2: 0.4622
S6_sigmoid_rmsprop_LR0.0001; MSE: 0.234219; R2: 0.1726
S6_relu_sgd_simple_LR0.01; FAILED; Input contains NaN.
S6_relu_sgd_simple_LR0.001; MSE: 0.214107; R2: 0.2436
S6_relu_sgd_simple_LR0.0001; MSE: 0.237577; R2: 0.1607
S6_relu_sgd_momentum_LR0.01; MSE: 0.164826; R2: 0.4177
S6_relu_sgd_momentum_LR0.001; MSE: 0.209901; R2: 0.2585
S6_relu_sgd_momentum_LR0.0001; MSE: 0.237782; R2: 0.1600
S6_relu_rmsprop_LR0.01; MSE: 0.042141; R2: 0.8511
S6_relu_rmsprop_LR0.001; MSE: 0.082944; R2: 0.7070
S6_relu_rmsprop_LR0.0001; MSE: 0.155047; R2: 0.4523
S20_sigmoid_sgd_simple_LR0.01; MSE: 0.283079; R2: -0.0000
S20_sigmoid_sgd_simple_LR0.001; MSE: 0.283078; R2: -0.0000
S20_sigmoid_sgd_simple_LR0.0001; MSE: 0.365929; R2: -0.2927
S20_sigmoid_sgd_momentum_LR0.01; MSE: 0.283078; R2: -0.0000
S20_sigmoid_sgd_momentum_LR0.001; MSE: 0.283078; R2: -0.0000
S20_sigmoid_sgd_momentum_LR0.0001; MSE: 0.365637; R2: -0.2916
S20_sigmoid_rmsprop_LR0.01; MSE: 0.283209; R2: -0.0005
S20_sigmoid_rmsprop_LR0.001; MSE: 0.283108; R2: -0.0001
S20_sigmoid_rmsprop_LR0.0001; MSE: 0.283078; R2: -0.0000
S20_relu_sgd_simple_LR0.01; MSE: 0.145442; R2: 0.4862
S20_relu_sgd_simple_LR0.001; MSE: 0.214356; R2: 0.2428
S20_relu_sgd_simple_LR0.0001; MSE: 0.251841; R2: 0.1103
S20_relu_sgd_momentum_LR0.01; MSE: 0.185588; R2: 0.3444
S20_relu_sgd_momentum_LR0.001; MSE: 0.227143; R2: 0.1976
S20_relu_sgd_momentum_LR0.0001; MSE: 0.256053; R2: 0.0955
S20_relu_rmsprop_LR0.01; MSE: 0.063544; R2: 0.7755
S20_relu_rmsprop_LR0.001; MSE: 0.142886; R2: 0.4952
S20_relu_rmsprop_LR0.0001; MSE: 0.131717; R2: 0.5347
